@relation Churn_test-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1-weka.filters.supervised.instance.Resample-B0.0-S1-Z100.0

@attribute CreditScore numeric
@attribute Age numeric
@attribute Tenure numeric
@attribute Balance numeric
@attribute NumOfProducts numeric
@attribute HasCrCard numeric
@attribute IsActiveMember numeric
@attribute EstimatedSalary numeric
@attribute Exited {Stay,Exit}

@data
777,39,8,0,2,1,1,18613.52,Stay
511,75,9,105609.17,1,0,1,105425.18,Stay
665,36,1,0,2,0,1,121505.61,Stay
737,30,8,174356.13,1,0,0,31928.5,Stay
541,32,8,0,2,0,0,40889.14,Stay
521,61,0,125193.96,1,1,1,109356.53,Stay
766,28,3,62717.84,2,1,1,13182.43,Stay
639,35,8,0,1,0,0,164453.98,Stay
454,48,5,144837.79,1,1,1,93151.77,Stay
699,40,8,122038.34,1,1,0,102085.35,Stay
670,40,3,0,1,1,1,182650.15,Stay
511,75,9,105609.17,1,0,1,105425.18,Stay
850,39,6,0,2,1,0,103921.43,Stay
528,32,2,99092.45,1,0,1,111149.98,Stay
689,47,2,118812.5,2,0,0,31121.42,Stay
841,28,4,0,2,1,1,179436.6,Stay
590,41,1,89086.31,1,1,0,24499.97,Stay
774,32,4,0,2,0,0,114899.13,Stay
850,29,1,154640.41,1,1,1,164039.51,Stay
529,31,5,0,2,1,0,26817.23,Stay
807,60,1,72948.58,2,1,1,17355.36,Stay
650,24,8,108881.73,1,1,0,104492.83,Stay
590,37,1,0,2,0,0,133535.99,Stay
850,28,8,67639.56,2,1,1,194245.29,Stay
753,35,4,0,2,1,1,106303.4,Stay
671,42,6,0,2,1,0,197202.48,Stay
566,44,5,141428.99,2,0,0,68408.74,Stay
433,34,9,152806.74,1,1,0,19687.99,Stay
550,47,2,0,2,1,1,97057.28,Stay
699,36,2,123601.56,2,1,0,103557.85,Stay
644,49,10,0,2,1,1,145089.64,Stay
505,43,5,136855.94,2,1,0,171070.52,Stay
631,29,2,0,2,1,1,18581.84,Stay
563,34,6,0,2,0,0,36536.93,Stay
607,32,9,144272.07,2,1,0,176580.63,Stay
502,37,10,0,1,1,1,76642.68,Stay
612,41,5,0,3,0,0,151256.22,Stay
539,38,5,0,2,1,0,47388.41,Stay
746,34,6,141806,2,1,1,183494.87,Stay
630,28,1,0,2,1,1,133267.78,Stay
547,51,1,0,2,1,1,56908.41,Stay
550,47,2,0,2,1,1,97057.28,Stay
531,42,6,75302.85,2,0,0,57034.35,Stay
700,40,2,0,2,1,0,199753.97,Stay
686,37,9,134560.62,1,1,0,27596.39,Stay
708,35,8,122570.69,1,0,0,199005.88,Stay
521,43,8,0,1,1,1,93180.09,Stay
470,35,1,96473.59,1,0,0,5962.3,Stay
613,29,0,0,2,0,1,133897.32,Stay
553,37,1,0,1,1,0,30461.55,Stay
696,43,4,114091.38,1,0,1,159888.1,Stay
